brewery_name,street,city,locality,zip_code,full_address
2 Row Brewing,6856 S 300 W,Midvale,UT,84047-1083,"6856 S 300 W, Midvale, UT 84047-1083"
2 Silos Brewing Company,ATTN FORREST,Manassas,VA,20109,"ATTN FORREST, Manassas, VA 20109"
2 Tones Brewing Co.,4539 E Broad St,Columbus,OH,43213,"4539 E Broad St, Columbus, OH 43213"
2 Way Brewing Company,18 W Main St,Beacon,NY,12508-2512,"18 W Main St, Beacon, NY 12508-2512"
2 Witches Winery and Brewing Company,209 Trade St,Danville,VA,24541-3545,"209 Trade St, Danville, VA 24541-3545"
20 Corners Brewing LLC,14148 NE 190th St Ste A,Woodinville,WA,98072-8437,"14148 NE 190th St Ste A, Woodinville, WA 98072-8437"
20 West Brewing Co.,1101 Main St.,Sweet Home,OR,97386,"1101 Main St., Sweet Home , OR 97386"
210 Brewing Co,3438 Stoluckquamish Ln,Arlington,WA,98223-9056,"3438 Stoluckquamish Ln, Arlington, WA 98223-9056"
212 Brewing Company,902 Broadway,New York,NY,10010,"902 Broadway, New York, NY 10010"
217 Brew Works,217 South St S,Wilson,NC,27893-4911,"217 South St S, Wilson, NC 27893-4911"
21st Amendment Brewery,2010 Williams St Unit A,San Leandro,CA,94577-2334,"2010 Williams St Unit A, San Leandro, CA 94577-2334"
21st Amendment Brewery Cafe,563 2nd St,San Francisco,CA,94107-1411,"563 2nd St, San Francisco, CA 94107-1411"
22 Lakes Brewing Co.,107 W Fulton St,Waupaca,WI,54981,"107 W Fulton St, Waupaca, WI 54981"
22 Northmen Brewing Company,6693 County Road 34 NW,Alexandria,MN,56308-9857,"6693 County Road 34 NW, Alexandria, MN 56308-9857"
23rd Street Brewery,3512 Clinton Pkwy,Lawrence,KS,66047-2145,"3512 Clinton Pkwy, Lawrence, KS 66047-2145"
25 O'Clock Brewing Company,208 W Griggs St,Urbana,IL,61801,"208 W Griggs St, Urbana, IL 61801"
25 West Brewing Co,327 Stratford Square Mall,Bloomingdale,IL,60108,"327 Stratford Square Mall, Bloomingdale, IL 60108"
256 North Restaurant,256 Petaluma Blvd N,Petaluma,CA,94952,"256 Petaluma Blvd N, Petaluma, CA 94952"
26 Degree Brewing Company,2600 E Atlantic Blvd,Pompano Beach,FL,33062-4940,"2600 E Atlantic Blvd, Pompano Beach, FL 33062-4940"
27A Brewing Company,173 North Wellwood Avenue,Lindenhurst,NY,11757,"173 North Wellwood Avenue, Lindenhurst, NY 11757"
28 Texas,4077 BRYN MAWR DR,DALLAS,TX,75225,"4077 BRYN MAWR DR, DALLAS, TX 75225"
2C Family Brewing Co.,1215 1st St S,Nampa,ID,83651-3957,"1215 1st St S, Nampa, ID 83651-3957"
2Kids Brewing Company,8680 Miralani Dr Ste 123,San Diego,CA,92126-6391,"8680 Miralani Dr Ste 123, San Diego, CA 92126-6391"
2SP Brewing Company,120 Concord Rd,Aston,PA,19014-2909,"120 Concord Rd, Aston, PA 19014-2909"
2Toms Brewing Company,3676 N Wells St,Fort Wayne,IN, ,"3676 N Wells St, Fort Wayne, IN"
2cabeças Cervejas,"Rua Hilário Ribeiro, 154 -Praça Da Band",Rio DeJaneiro,RJ,13010,"Rua Hilário Ribeiro, 154 -Praça Da Band, Rio DeJaneiro, RJ 13010"
2nd Act Beer,18 N Salem St,Dover,NJ,07801-4119,"18 N Salem St, Dover, NJ 07801-4119"
2nd Bridge Brewing Co,642 Hilliard Street,Manchester,CT,6042,"642 Hilliard Street , Manchester , CT 06042"
2nd Phase Brewing,1004 19th St,Bakersfield,CA,93301,"1004 19th St, Bakersfield, CA 93301"
2nd Shift Brewing Co,1601 Sublette Ave,Saint Louis,MO,63110-1924,"1601 Sublette Ave, Saint Louis, MO 63110-1924"
2nd Story Brewing Company,117 Chestnut St Frnt,Philadelphia,PA,19106-4700,"117 Chestnut St Frnt, Philadelphia, PA 19106-4700"
3 Bridges Brewing,2107 Tamiami Trl S,Venice,FL,34293-5011,"2107 Tamiami Trl S, Venice, FL 34293-5011"
3 Car Garage Brewing Co,8405 Heritage Green Way,Bradenton,FL,34212,"8405 Heritage Green Way, Bradenton , FL 34212"
3 Daughters Brewing,222 22nd St S,Saint Petersburg,FL,33712-1240,"222 22nd St S, Saint Petersburg, FL 33712-1240"
