beer_style,info_link,image_link
Herb and Spice Beer,https://www.craftbeer.com/styles/herb-and-spice-beer,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/herb-and-spice-beer.jpg
Honey Beer,https://www.craftbeer.com/styles/honey-beer,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/honey-beer.jpg
Imperial India Pale Ale,https://www.craftbeer.com/styles/imperial-india-pale-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/imperial-india-pale-ale.jpg
Irish-Style Dry Stout,https://www.craftbeer.com/styles/irish-style-dry-stout,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/irish-style-dry-stout.jpg
Irish-Style Red Beer,https://www.craftbeer.com/styles/irish-style-red,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/irish-style-red.jpg
New England IPA,https://www.craftbeer.com/styles/new-england-ipa,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/new-england-ipa.jpg
Pumpkin Beer,https://www.craftbeer.com/styles/pumpkin-beers,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/pumpkin-beers.jpg
Robust Porter,https://www.craftbeer.com/styles/robust-porter,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/robust-porter.jpg
Rye Beer,https://www.craftbeer.com/styles/rye-beer,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/rye-beer.jpg
Scotch Ale/Wee Heavy,https://www.craftbeer.com/styles/scotch-ale-wee-heavy,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/scotch-ale-wee-heavy.jpg
Scottish-Style Ale,https://www.craftbeer.com/styles/scottish-style-ale,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/scottish-style-ale.jpg
Session Beer,https://www.craftbeer.com/styles/session-beer,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/session-beer.jpg
Smoke Beer,https://www.craftbeer.com/styles/smoke-beer,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/smoke-beer.jpg
Smoke Porter,https://www.craftbeer.com/styles/smoke-porter,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/smoke-porter.jpg
Specialty Beer,https://www.craftbeer.com/styles/specialty-beer,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/specialty-beer.jpg
Vienna-Style Lager,https://www.craftbeer.com/styles/vienna-style-lager,https://www.craftbeer.com/wp-content/uploads/_SF/thumbnails/vienna-style-lager.jpg
